# d0	d1	e0	e1	f0	f1	g0	g1
1.147392639450327961e-02 5.598052984490666656e-02 2.350877394299088086e-03 9.419935667115977851e-03 3.269892084586254930e-04 1.393250550919035175e-03 2.313231471987214948e-04 1.818128735567774027e-03
1.000198209737764993e-01 1.362338260209796648e-01 1.546024573156765634e-02 3.768312198787327622e-02 3.318030825565713472e-03 5.834579495562378787e-03 6.745467975158100536e-04 1.437692663238409252e-03
1.644551761033303389e-02 1.150272703044481759e-01 1.415502935136478749e-02 5.241253185005226994e-02 9.827423329838709358e-04 4.555979073377809836e-03 1.839900258117272997e-04 2.295531974037847301e-03
5.917081564882122752e-02 8.893457256376013920e-02 7.315067177570274207e-03 2.113848188428704353e-02 1.505878314820437072e-03 3.507638660498256771e-03 6.251965367284620856e-04 9.679583502055914054e-04
1.334168444126652107e-02 4.629361879397486668e-02 1.707415411871034475e-02 5.199961112058368307e-02 6.965889826869779526e-04 2.190576844263930536e-03 1.909691891496318914e-04 1.480325600775907972e-03
1.161032963040485172e-01 1.473498704167829354e-01 1.088899630051428334e-02 3.554198549739469998e-02 2.334855200876910421e-03 4.958613892564707644e-03 1.089211541404253112e-03 1.145761302929850607e-03
1.400047259126674035e-02 3.886484669095446182e-02 6.799747620781221649e-03 2.213088108894391975e-02 4.465615140371718733e-04 1.457823322784593560e-03 2.406912702233362643e-04 1.058617714078806480e-03
2.036624147158010156e-02 9.186687689498730658e-02 2.454162604720044188e-03 1.326194467507484792e-02 4.185851921818566556e-04 2.125378075486533073e-03 3.399078832123264863e-04 1.828723794782264288e-03
1.558900974556303408e-02 1.892965692071749487e-02 3.211080561784509374e-02 4.512651677373308995e-02 9.653549692425942522e-04 1.340646543496563535e-03 1.985699738914549776e-04 6.486956705490436138e-04
1.551643158473528690e-02 2.397220860867247880e-02 1.148986043476591876e-02 2.180077610347068776e-02 5.735717272139633513e-04 1.113772120273602128e-03 2.442314526509472422e-04 8.536864898427673530e-04
2.715118745326810384e-02 4.056135499255709292e-02 1.346561686492447028e-02 4.815888832249479862e-02 1.114167741753256582e-03 2.663099367900490389e-03 2.589094022240498406e-04 7.163009584188245651e-04
1.297685846800232350e-02 4.831161654568259106e-02 5.986304087713219084e-03 2.903293070489375294e-02 5.343180449954429076e-04 2.356872787987398295e-03 1.526081047070385716e-04 7.766846969468057475e-04
